box_loss,class_loss,loss,val_box_loss,val_class_loss,val_loss
3.9907917976379395,338.0334167480469,342.6138610839844,4.375894546508789,1608.8004150390625,1582.731689453125
3.818061351776123,141.3177947998047,145.10305786132812,4.5611138343811035,396.6170654296875,408.0171813964844
3.3299336433410645,78.71548461914062,82.12431335449219,3.340505361557007,71.48519897460938,73.44503021240234
2.9572081565856934,54.57923126220703,57.57499694824219,3.238409996032715,59.25181579589844,60.74644088745117
2.857537269592285,36.87016296386719,39.759578704833984,3.0749082565307617,43.85459899902344,47.415679931640625
2.760411024093628,26.9534969329834,29.718889236450195,3.001277208328247,87.7460708618164,97.12307739257812
2.681696891784668,20.755462646484375,23.430570602416992,2.850313425064087,25.597963333129883,29.12369155883789
2.5885486602783203,16.124454498291016,18.718923568725586,2.9581074714660645,19.942623138427734,23.383625030517578
2.5729820728302,13.513726234436035,16.09502601623535,2.7428078651428223,13.380926132202148,16.145111083984375
2.560636281967163,11.521838188171387,14.088095664978027,2.852018117904663,15.983366012573242,19.67974090576172
2.4664993286132812,9.833250045776367,12.300546646118164,2.743183135986328,56.77113723754883,64.7289810180664
2.3646230697631836,8.239131927490234,10.605831146240234,2.48492169380188,29.943349838256836,34.772159576416016
2.2934463024139404,6.9417619705200195,9.239912986755371,2.453734874725342,10.120298385620117,13.127188682556152
2.2577457427978516,6.488654613494873,8.745288848876953,3.4226198196411133,2888.946044921875,3202.9296875
2.2804627418518066,6.238229274749756,8.523192405700684,2.488100528717041,13.075765609741211,16.469356536865234
